,SubID,TrialType,RT,ACC
0,3,congruent,768,1
1,3,incongruent,561,1
2,3,congruent,442,1
3,3,incongruent,503,1
4,3,congruent,410,1
5,3,congruent,409,1
6,3,incongruent,527,1
7,3,incongruent,480,1
8,3,incongruent,468,1
9,3,congruent,505,1
10,3,incongruent,508,1
11,3,congruent,431,1
12,3,incongruent,461,1
13,3,congruent,402,1
14,3,congruent,425,1
15,3,incongruent,423,1
16,3,congruent,374,1
17,3,incongruent,815,1
18,3,congruent,397,1
19,3,incongruent,509,1
20,3,incongruent,488,1
21,3,incongruent,412,1
22,3,congruent,362,1
23,3,congruent,395,1
24,3,incongruent,442,1
25,3,congruent,392,1
26,3,incongruent,447,1
27,3,congruent,467,1
28,3,incongruent,624,1
29,3,congruent,446,1
30,3,incongruent,500,1
31,3,congruent,391,1
32,3,congruent,382,1
33,3,congruent,406,1
34,3,incongruent,588,1
35,3,incongruent,403,1
36,3,congruent,394,1
37,3,incongruent,425,1
38,3,incongruent,455,1
39,3,congruent,347,1
40,3,incongruent,452,1
41,3,congruent,505,1
42,3,congruent,403,1
43,3,incongruent,473,1
44,3,congruent,438,1
45,3,congruent,396,1
46,3,incongruent,593,1
47,3,incongruent,505,1
48,3,congruent,387,1
49,3,incongruent,467,1
50,3,congruent,375,1
51,3,incongruent,726,1
52,3,congruent,375,1
53,3,incongruent,479,1
54,3,congruent,426,1
55,3,incongruent,448,1
56,3,congruent,397,1
57,3,incongruent,396,1
58,3,congruent,411,1
59,3,incongruent,450,1
60,3,congruent,367,1
61,3,congruent,384,1
62,3,incongruent,488,1
63,3,incongruent,428,1
64,3,congruent,378,1
65,3,incongruent,465,1
66,3,incongruent,437,1
67,3,congruent,379,1
68,3,congruent,427,1
69,3,incongruent,593,1
70,3,incongruent,529,1
71,3,congruent,387,1
72,3,incongruent,467,1
73,3,incongruent,447,1
74,3,congruent,389,1
75,3,congruent,341,1
76,3,congruent,382,1
77,3,incongruent,454,1
78,3,incongruent,396,1
79,3,congruent,347,1
80,3,congruent,316,1
81,3,incongruent,439,1
82,3,incongruent,413,1
83,3,congruent,324,1
84,3,congruent,334,1
85,3,congruent,448,1
86,3,incongruent,470,1
87,3,incongruent,474,1
88,3,congruent,383,1
89,3,incongruent,382,1
90,3,incongruent,398,1
91,3,congruent,390,1
92,3,incongruent,438,1
93,3,incongruent,404,1
94,3,congruent,379,1
95,3,congruent,411,1
96,3,congruent,386,1
97,3,incongruent,482,1
98,3,incongruent,438,1
99,3,congruent,411,1
100,3,congruent,530,1
101,3,incongruent,500,1
102,5,congruent,865,1
103,5,congruent,701,1
104,5,incongruent,920,1
105,5,incongruent,955,1
106,5,incongruent,748,1
107,5,incongruent,596,1
108,5,congruent,692,1
109,5,congruent,559,1
110,5,incongruent,671,1
111,5,congruent,572,1
112,5,congruent,653,1
113,5,incongruent,690,1
114,5,congruent,630,1
115,5,congruent,524,1
116,5,incongruent,887,1
117,5,incongruent,595,1
118,5,incongruent,699,1
119,5,incongruent,1006,1
120,5,congruent,566,1
121,5,congruent,462,1
122,5,congruent,571,1
123,5,congruent,500,1
124,5,incongruent,607,1
125,5,incongruent,606,1
126,5,incongruent,565,1
127,5,congruent,534,1
128,5,incongruent,536,1
129,5,congruent,530,1
130,5,congruent,548,1
131,5,incongruent,709,1
132,5,congruent,664,1
133,5,incongruent,645,1
134,5,congruent,490,1
135,5,incongruent,654,1
136,5,incongruent,804,1
137,5,congruent,491,1
138,5,incongruent,606,1
139,5,incongruent,630,1
140,5,congruent,596,1
141,5,congruent,683,1
142,5,incongruent,631,1
143,5,congruent,541,1
144,5,congruent,575,1
145,5,incongruent,703,1
146,5,congruent,506,1
147,5,incongruent,542,1
148,5,congruent,727,1
149,5,incongruent,657,1
150,5,congruent,487,1
151,5,incongruent,635,1
152,5,incongruent,689,1
153,5,congruent,836,1
154,5,incongruent,682,1
155,5,congruent,582,1
156,5,congruent,622,1
157,5,incongruent,677,1
158,5,incongruent,705,1
159,5,congruent,860,1
160,5,congruent,529,1
161,5,incongruent,683,1
162,5,incongruent,639,1
163,5,incongruent,573,1
164,5,congruent,478,1
165,5,congruent,562,1
166,5,incongruent,603,1
167,5,congruent,594,1
168,5,incongruent,706,1
169,5,congruent,517,1
170,5,congruent,784,1
171,5,congruent,472,1
172,5,incongruent,613,1
173,5,incongruent,611,1
174,5,incongruent,490,1
175,5,congruent,590,1
176,5,incongruent,622,1
177,5,congruent,629,1
178,5,incongruent,491,1
179,5,congruent,559,1
180,5,congruent,720,1
181,5,incongruent,641,1
182,5,incongruent,576,1
183,5,incongruent,631,1
184,5,congruent,461,1
185,5,congruent,450,1
186,5,incongruent,567,1
187,5,incongruent,1000,1
