rank,discipline,yrs.since.phd,yrs.service,sex,salary
Prof,B,19,18,Male,139750
Prof,B,20,16,Male,173200
AsstProf,B,4,3,Male,79750
Prof,B,45,39,Male,115000
Prof,B,40,41,Male,141500
AssocProf,B,6,6,Male,97000
Prof,B,30,23,Male,175000
Prof,B,45,45,Male,147765
Prof,B,21,20,Male,119250
Prof,B,18,18,Female,129000
AssocProf,B,12,8,Male,119800
AsstProf,B,7,2,Male,79800
AsstProf,B,1,1,Male,77700
AsstProf,B,2,0,Male,78000
Prof,B,20,18,Male,104800
Prof,B,12,3,Male,117150
Prof,B,19,20,Male,101000
Prof,A,38,34,Male,103450
Prof,A,37,23,Male,124750
Prof,A,39,36,Female,137000
Prof,A,31,26,Male,89565
Prof,A,36,31,Male,102580
Prof,A,34,30,Male,93904
Prof,A,24,19,Male,113068
AssocProf,A,13,8,Female,74830
Prof,A,21,8,Male,106294
Prof,A,35,23,Male,134885
AsstProf,B,5,3,Male,82379
AsstProf,B,11,0,Male,77000
Prof,B,12,8,Male,118223
Prof,B,20,4,Male,132261
AsstProf,B,7,2,Male,79916
Prof,B,13,9,Male,117256
AsstProf,B,4,2,Male,80225
AsstProf,B,4,2,Female,80225
AsstProf,B,5,0,Female,77000
Prof,B,22,21,Male,155750
AsstProf,B,7,4,Male,86373
Prof,B,41,31,Male,125196
AssocProf,B,9,9,Male,100938
Prof,B,23,2,Male,146500
AssocProf,B,23,23,Male,93418
Prof,B,40,27,Male,101299
Prof,B,38,38,Male,231545
Prof,B,19,19,Male,94384
Prof,B,25,15,Male,114778
Prof,B,40,28,Male,98193
Prof,B,23,19,Female,151768
Prof,B,25,25,Female,140096
AsstProf,B,1,1,Male,70768
Prof,B,28,28,Male,126621
Prof,B,12,11,Male,108875
AsstProf,B,11,3,Female,74692
Prof,B,16,9,Male,106639
AssocProf,B,12,11,Male,103760
AssocProf,B,14,5,Male,83900
Prof,B,23,21,Male,117704
AssocProf,B,9,8,Male,90215
AssocProf,B,10,9,Male,100135
AsstProf,B,8,3,Male,75044
AssocProf,B,9,8,Male,90304
AsstProf,B,3,2,Male,75243
Prof,B,33,31,Male,109785
AssocProf,B,11,11,Female,103613
AsstProf,B,4,3,Male,68404
AssocProf,B,9,8,Male,100522
Prof,B,22,12,Male,101000
Prof,B,35,31,Male,99418
Prof,B,17,17,Female,111512
Prof,B,28,36,Male,91412
Prof,B,17,2,Male,126320
Prof,B,45,45,Male,146856
Prof,B,29,19,Male,100131
Prof,B,35,34,Male,92391
Prof,B,28,23,Male,113398
AsstProf,B,8,3,Male,73266
Prof,B,17,3,Male,150480
Prof,B,26,19,Male,193000
AsstProf,B,3,1,Male,86100
AsstProf,B,6,2,Male,84240
Prof,B,43,28,Male,150743
Prof,B,17,16,Male,135585
Prof,B,22,20,Male,144640
AsstProf,B,6,2,Male,88825
Prof,B,17,18,Female,122960
Prof,B,15,14,Male,132825
Prof,B,37,37,Male,152708
AsstProf,B,2,2,Male,88400
Prof,B,25,25,Male,172272
AssocProf,B,9,7,Male,107008
AsstProf,B,10,5,Female,97032
AssocProf,B,10,7,Male,105128
AssocProf,B,10,7,Male,105631
Prof,B,38,38,Male,166024
Prof,B,21,20,Male,123683
AsstProf,B,4,0,Male,84000
AssocProf,B,17,12,Male,95611
Prof,B,13,7,Male,129676
Prof,B,30,14,Male,102235
Prof,B,41,26,Male,106689
Prof,B,42,25,Male,133217
Prof,B,28,23,Male,126933
Prof,B,16,5,Male,153303
Prof,B,20,14,Female,127512
AssocProf,A,18,10,Male,83850
Prof,A,31,28,Male,113543
AssocProf,A,11,8,Male,82099
AssocProf,A,10,8,Male,82600
AssocProf,A,15,8,Male,81500
Prof,A,40,31,Male,131205
Prof,A,20,16,Male,112429
AssocProf,A,19,16,Male,82100
AsstProf,A,3,1,Male,72500
Prof,A,37,37,Male,104279
Prof,A,12,0,Female,105000
Prof,A,21,9,Male,120806
Prof,A,30,29,Male,148500
Prof,A,39,36,Male,117515
AsstProf,A,4,1,Male,72500
AsstProf,A,5,3,Female,73500
Prof,A,14,14,Male,115313
Prof,A,32,32,Male,124309
Prof,A,24,22,Male,97262
AssocProf,A,25,22,Female,62884
Prof,A,24,22,Male,96614
Prof,A,54,49,Male,78162
Prof,A,28,26,Male,155500
AsstProf,A,2,0,Female,72500
Prof,A,32,30,Male,113278
AsstProf,A,4,2,Male,73000
AssocProf,A,11,9,Male,83001
Prof,A,56,57,Male,76840
AssocProf,A,10,8,Female,77500
AsstProf,A,3,1,Female,72500
Prof,A,35,25,Male,168635
Prof,A,20,18,Male,136000
Prof,A,16,14,Male,108262
Prof,A,17,14,Male,105668
AssocProf,A,10,7,Male,73877
Prof,A,21,18,Male,152664
AssocProf,A,14,8,Male,100102
AssocProf,A,15,10,Male,81500
Prof,A,19,11,Male,106608
AsstProf,B,3,3,Male,89942
Prof,B,27,27,Male,112696
Prof,B,28,28,Male,119015
AsstProf,B,4,4,Male,92000
Prof,B,27,27,Male,156938
Prof,B,36,26,Female,144651
AsstProf,B,4,3,Male,95079
Prof,B,14,12,Male,128148
AsstProf,B,4,4,Male,92000
Prof,B,21,9,Male,111168
AssocProf,B,12,10,Female,103994
AsstProf,B,4,0,Male,92000
Prof,B,21,21,Male,118971
AssocProf,B,12,18,Male,113341
AsstProf,B,1,0,Male,88000
AssocProf,B,6,6,Male,95408
Prof,B,15,16,Male,137167
AsstProf,B,2,2,Male,89516
Prof,B,26,19,Male,176500
AssocProf,B,22,7,Male,98510
AsstProf,B,3,3,Male,89942
AsstProf,B,1,0,Male,88795
Prof,B,21,8,Male,105890
Prof,B,16,16,Male,167284
Prof,B,18,19,Male,130664
AssocProf,B,8,6,Male,101210
Prof,B,25,18,Male,181257
AsstProf,B,5,5,Male,91227
Prof,B,19,19,Male,151575
Prof,B,37,24,Male,93164
Prof,B,20,20,Male,134185
AssocProf,B,17,6,Male,105000
Prof,B,28,25,Male,111751
AssocProf,B,10,7,Male,95436
AssocProf,B,13,9,Male,100944
Prof,B,27,14,Male,147349
AsstProf,B,3,3,Female,92000
Prof,B,11,11,Male,142467
Prof,B,18,5,Male,141136
AssocProf,B,8,8,Male,100000
Prof,B,26,22,Male,150000
Prof,B,23,23,Male,101000
Prof,B,33,30,Male,134000
AssocProf,B,13,10,Female,103750
Prof,B,18,10,Male,107500
AssocProf,B,28,28,Male,106300
Prof,B,25,19,Male,153750
Prof,B,22,9,Male,180000
Prof,B,43,22,Male,133700
Prof,B,19,18,Male,122100
AssocProf,B,19,19,Male,86250
AssocProf,B,48,53,Male,90000
AssocProf,B,9,7,Male,113600
AsstProf,B,4,4,Male,92700
AsstProf,B,4,4,Male,92000
Prof,B,34,33,Male,189409
Prof,B,38,22,Male,114500
AsstProf,B,4,4,Male,92700
Prof,B,40,40,Male,119700
Prof,B,28,17,Male,160400
Prof,B,17,17,Male,152500
Prof,B,19,5,Male,165000
Prof,B,21,2,Male,96545
Prof,B,35,33,Male,162200
Prof,B,18,18,Male,120000
AsstProf,B,7,2,Male,91300
Prof,B,20,20,Male,163200
AsstProf,B,4,3,Male,91000
Prof,B,39,39,Male,111350
Prof,B,15,7,Male,128400
Prof,B,26,19,Male,126200
AssocProf,B,11,1,Male,118700
Prof,B,16,11,Male,145350
Prof,B,15,11,Male,146000
AssocProf,B,29,22,Male,105350
AssocProf,B,14,7,Female,109650
Prof,B,13,11,Male,119500
Prof,B,21,21,Male,170000
Prof,B,23,10,Male,145200
AssocProf,B,13,6,Male,107150
Prof,B,34,20,Male,129600
Prof,A,38,35,Male,87800
Prof,A,20,20,Male,122400
AsstProf,A,3,1,Male,63900
AssocProf,A,9,7,Male,70000
Prof,A,16,11,Male,88175
Prof,A,39,38,Male,133900
Prof,A,29,27,Female,91000
AssocProf,A,26,24,Female,73300
Prof,A,38,19,Male,148750
Prof,A,36,19,Female,117555
AsstProf,A,8,3,Male,69700
Prof,A,28,17,Male,81700
Prof,A,25,25,Male,114000
AsstProf,A,7,6,Female,63100
Prof,A,46,40,Male,77202
Prof,A,19,6,Male,96200
AsstProf,A,5,3,Male,69200
Prof,A,31,30,Male,122875
Prof,A,38,37,Male,102600
Prof,A,23,23,Male,108200
Prof,A,19,23,Male,84273
Prof,A,17,11,Female,90450
Prof,A,30,23,Male,91100
Prof,A,21,18,Male,101100
Prof,A,28,23,Male,128800
Prof,A,29,7,Male,204000
Prof,A,39,39,Male,109000
Prof,A,20,8,Male,102000
Prof,A,31,12,Male,132000
AsstProf,A,4,2,Female,77500
Prof,A,28,7,Female,116450
AssocProf,A,12,8,Male,83000
Prof,A,22,22,Male,140300
AssocProf,A,30,23,Male,74000
AsstProf,A,9,3,Male,73800
Prof,A,32,30,Male,92550
AssocProf,A,41,33,Male,88600
Prof,A,45,45,Male,107550
Prof,A,31,26,Male,121200
Prof,A,31,31,Male,126000
Prof,A,37,35,Male,99000
Prof,A,36,30,Male,134800
Prof,A,43,43,Male,143940
Prof,A,14,10,Male,104350
Prof,A,47,44,Male,89650
Prof,A,13,7,Male,103700
Prof,A,42,40,Male,143250
Prof,A,42,18,Male,194800
AsstProf,A,4,1,Male,73000
AsstProf,A,8,4,Male,74000
AsstProf,A,8,3,Female,78500
Prof,A,12,6,Male,93000
Prof,A,52,48,Male,107200
Prof,A,31,27,Male,163200
Prof,A,24,18,Male,107100
Prof,A,46,46,Male,100600
Prof,A,39,38,Male,136500
Prof,A,37,27,Male,103600
Prof,A,51,51,Male,57800
Prof,A,45,43,Male,155865
AssocProf,A,8,6,Male,88650
AssocProf,A,49,49,Male,81800
Prof,A,28,27,Male,115800
AsstProf,A,2,0,Male,85000
Prof,A,29,27,Male,150500
AsstProf,A,8,5,Male,74000
Prof,A,33,7,Male,174500
Prof,A,32,28,Male,168500
Prof,A,39,9,Male,183800
AssocProf,A,11,1,Male,104800
Prof,A,19,7,Male,107300
Prof,A,40,36,Male,97150
Prof,A,18,18,Male,126300
